Date,EPS Estimate,Reported EPS,Surprise(%),Ticker
2025-01-16 08:00:00-05:00,1.68,2.22,32.23,MS
2025-04-11 07:00:00-04:00,2.19,2.6,18.59,MS
2025-07-16 07:00:00-04:00,1.98,2.13,7.46,MS
2025-10-15 07:00:00-04:00,2.07,2.8,35.32,MS
2020-01-30 07:00:00-05:00,1.61,1.67,3.92,MSCI
2020-04-28 08:00:00-04:00,1.69,1.9,12.51,MSCI
2020-07-28 06:00:00-04:00,1.68,1.77,5.44,MSCI
2020-10-27 06:00:00-04:00,1.82,2.2,21.05,MSCI
2021-01-28 06:00:00-05:00,1.94,1.96,0.9,MSCI
2021-04-27 06:00:00-04:00,2.26,2.46,9.09,MSCI
2021-07-27 06:00:00-04:00,2.31,2.45,5.89,MSCI
2021-10-26 06:00:00-04:00,2.43,2.53,4.29,MSCI
2022-01-27 06:00:00-05:00,2.49,2.51,0.68,MSCI
2022-04-26 06:00:00-04:00,2.79,2.98,6.94,MSCI
2022-07-26 06:00:00-04:00,2.67,2.78,4.0,MSCI
2022-10-25 06:00:00-04:00,2.71,2.85,4.99,MSCI
2023-01-31 06:00:00-05:00,2.76,2.84,2.89,MSCI
2023-04-25 06:00:00-04:00,3.0,3.14,4.66,MSCI
2023-07-25 06:00:00-04:00,3.11,3.26,4.86,MSCI
2023-10-31 06:00:00-04:00,3.31,3.45,4.1,MSCI
2024-01-30 06:00:00-05:00,3.29,3.68,11.93,MSCI
2024-04-23 06:00:00-04:00,3.47,3.52,1.41,MSCI
2024-07-23 06:00:00-04:00,3.55,3.64,2.59,MSCI
2024-10-29 06:00:00-04:00,3.77,3.86,2.32,MSCI
2025-01-29 06:00:00-05:00,3.95,4.18,5.79,MSCI
2025-04-22 06:00:00-04:00,3.61,3.71,2.9,MSCI
2025-07-22 06:00:00-04:00,4.15,4.17,0.57,MSCI
2025-10-28 06:00:00-04:00,4.37,4.47,2.33,MSCI
2020-01-29 16:00:00-05:00,1.32,1.51,13.96,MSFT
2020-04-29 16:00:00-04:00,1.27,1.4,10.34,MSFT
2020-07-22 16:00:00-04:00,1.37,1.46,6.42,MSFT
2020-10-27 16:00:00-04:00,1.55,1.82,17.72,MSFT
2021-01-26 16:00:00-05:00,1.64,2.03,23.99,MSFT
2021-04-27 16:00:00-04:00,1.78,1.95,9.67,MSFT
2021-07-27 16:00:00-04:00,1.93,2.17,12.71,MSFT
2021-10-26 16:00:00-04:00,2.08,2.27,9.3,MSFT
2022-01-25 16:00:00-05:00,2.32,2.48,6.97,MSFT
2022-04-26 16:00:00-04:00,2.2,2.22,1.06,MSFT
2022-07-26 16:00:00-04:00,2.29,2.23,-2.69,MSFT
2022-10-25 16:00:00-04:00,2.31,2.35,1.92,MSFT
2023-01-24 16:00:00-05:00,2.32,2.32,0.21,MSFT
2023-04-25 16:00:00-04:00,2.23,2.45,9.77,MSFT
2023-07-25 16:00:00-04:00,2.55,2.69,5.59,MSFT
2023-10-24 16:00:00-04:00,2.65,2.99,12.85,MSFT
2024-01-30 16:00:00-05:00,2.77,2.93,5.83,MSFT
2024-04-25 16:00:00-04:00,2.84,2.94,3.4,MSFT
2024-07-30 16:00:00-04:00,2.94,2.95,0.23,MSFT
2024-10-30 16:00:00-04:00,3.11,3.3,6.25,MSFT
2025-01-29 16:00:00-05:00,3.12,3.23,3.47,MSFT
2025-04-30 16:00:00-04:00,3.22,3.46,7.4,MSFT
2025-07-30 16:00:00-04:00,3.38,3.65,8.09,MSFT
2025-10-29 16:00:00-04:00,3.66,3.72,1.59,MSFT
2020-02-06 16:00:00-05:00,2.8,2.94,5.02,MSI
2020-05-07 17:00:00-04:00,1.3,1.49,15.03,MSI
2020-08-06 16:00:00-04:00,1.22,1.39,14.0,MSI
2020-10-29 16:00:00-04:00,1.78,1.95,9.71,MSI
2021-02-04 16:00:00-05:00,2.74,2.86,4.26,MSI
2021-05-06 16:00:00-04:00,1.62,1.87,15.08,MSI
2021-08-05 16:00:00-04:00,1.92,2.07,7.61,MSI
2021-11-04 16:00:00-04:00,2.14,2.35,10.06,MSI
2022-02-09 16:00:00-05:00,2.74,2.85,3.93,MSI
2022-05-12 16:00:00-04:00,1.58,1.7,7.59,MSI
2022-08-04 16:00:00-04:00,1.87,2.07,10.56,MSI
2022-11-03 16:00:00-04:00,2.88,3.0,4.1,MSI
2023-02-09 13:00:00-05:00,3.43,3.6,4.82,MSI
2023-05-04 16:00:00-04:00,2.05,2.22,8.1,MSI
2023-08-03 16:00:00-04:00,2.52,2.65,5.34,MSI
2023-11-02 16:00:00-04:00,3.03,3.19,5.45,MSI
2024-02-08 16:00:00-05:00,3.63,3.9,7.33,MSI
2024-05-02 16:00:00-04:00,2.53,2.81,11.01,MSI
2024-08-01 16:00:00-04:00,3.01,3.24,7.56,MSI
2024-11-07 16:00:00-05:00,2.88,3.29,14.09,MSI
2025-02-13 16:00:00-05:00,3.89,4.04,3.94,MSI
2025-05-01 16:00:00-04:00,3.01,3.18,5.66,MSI
2025-08-07 16:00:00-04:00,3.36,3.57,6.21,MSI
2025-10-30 16:00:00-04:00,3.3,3.33,0.88,MSI
2020-01-23 06:00:00-05:00,3.46,3.64,5.12,MTB
2020-04-20 06:00:00-04:00,2.51,2.06,-18.22,MTB
2020-07-23 06:00:00-04:00,1.86,1.7,-8.84,MTB
2020-10-22 06:00:00-04:00,2.53,2.74,7.98,MTB
2021-01-21 05:00:00-05:00,3.04,3.51,15.53,MTB
2021-04-19 06:00:00-04:00,2.98,3.4,14.13,MTB
2021-07-21 06:00:00-04:00,3.54,3.49,-1.3,MTB
2021-10-20 06:00:00-04:00,3.5,5.06,44.73,MTB
2022-01-20 06:00:00-05:00,3.26,3.49,6.96,MTB
2022-04-20 06:00:00-04:00,2.34,2.73,16.72,MTB
2022-07-20 06:00:00-04:00,3.15,3.12,-0.93,MTB
2022-10-19 06:00:00-04:00,4.26,3.77,-11.5,MTB
2023-01-19 06:00:00-05:00,4.44,4.51,1.5,MTB
2023-04-17 06:00:00-04:00,3.96,4.01,1.24,MTB
2023-07-19 06:00:00-04:00,4.03,4.11,1.9,MTB
2023-10-18 06:00:00-04:00,3.92,3.98,1.49,MTB
2024-01-18 06:00:00-05:00,3.67,3.6,-1.84,MTB
2024-04-15 06:00:00-04:00,3.12,3.01,-3.54,MTB
2024-07-18 05:00:00-04:00,3.49,3.79,8.59,MTB
2024-10-17 05:00:00-04:00,3.62,4.03,11.45,MTB
2025-01-16 05:00:00-05:00,3.74,3.77,0.97,MTB
2025-04-14 06:00:00-04:00,3.4,3.32,-2.26,MTB
2025-07-16 05:00:00-04:00,4.01,4.24,5.7,MTB
2025-10-16 05:00:00-04:00,4.39,4.81,9.59,MTB
2020-08-04 16:00:00-04:00,0.48,0.63,30.0,MTCH
2020-11-04 16:00:00-05:00,0.52,0.59,13.28,MTCH
2021-02-02 16:00:00-05:00,0.53,0.54,1.1,MTCH
2021-05-04 16:00:00-04:00,0.45,0.66,47.35,MTCH
2021-08-03 16:00:00-04:00,0.54,0.56,3.33,MTCH
2021-11-02 16:00:00-04:00,0.58,0.56,-1.83,MTCH
2022-02-01 16:00:00-05:00,0.49,-0.47,-195.3,MTCH
2022-05-03 16:00:00-04:00,0.49,0.77,56.72,MTCH
2022-08-02 16:00:00-04:00,0.63,0.69,9.03,MTCH
2022-11-01 16:00:00-04:00,0.57,0.58,1.92,MTCH
2023-01-31 16:00:00-05:00,0.63,0.87,39.19,MTCH
2023-05-02 16:00:00-04:00,0.57,0.54,-4.15,MTCH
2023-08-01 16:00:00-04:00,0.62,0.65,5.3,MTCH
2023-10-31 16:00:00-04:00,0.76,0.75,-1.69,MTCH
2024-01-30 16:00:00-05:00,0.72,1.08,49.7,MTCH
2024-05-07 16:00:00-04:00,0.62,0.64,2.72,MTCH
2024-07-30 16:00:00-04:00,0.73,0.69,-5.23,MTCH
2024-11-06 16:00:00-05:00,0.79,0.79,0.3,MTCH
2025-02-04 16:00:00-05:00,0.83,0.82,-1.94,MTCH
2025-05-08 07:00:00-04:00,0.66,0.68,3.7,MTCH
2025-08-05 16:00:00-04:00,0.77,0.71,-8.15,MTCH
2025-11-04 16:00:00-05:00,0.63,0.62,-2.27,MTCH
2020-02-06 16:00:00-05:00,7.7,7.78,1.02,MTD
2020-05-07 17:00:00-04:00,3.83,4.0,4.46,MTD
2020-07-30 16:00:00-04:00,4.22,5.29,25.38,MTD
2020-11-05 16:00:00-05:00,5.99,7.02,17.14,MTD
2021-02-04 16:00:00-05:00,8.76,9.26,5.75,MTD
2021-05-06 16:00:00-04:00,5.61,6.56,16.9,MTD
2021-07-29 16:00:00-04:00,7.62,8.1,6.28,MTD
2021-11-04 16:00:00-04:00,8.28,8.72,5.34,MTD
2022-02-10 16:00:00-05:00,10.11,10.53,4.2,MTD
2022-05-05 16:00:00-04:00,7.28,7.87,8.06,MTD
2022-07-28 17:00:00-04:00,8.77,9.39,7.04,MTD
2022-11-03 16:00:00-04:00,9.83,10.18,3.53,MTD
2023-02-09 17:00:00-05:00,11.68,12.1,3.57,MTD
2023-05-04 17:00:00-04:00,8.61,8.69,0.94,MTD
2023-07-27 16:00:00-04:00,9.98,10.19,2.15,MTD
2023-11-09 16:00:00-05:00,9.87,9.8,-0.67,MTD
2024-02-08 17:00:00-05:00,9.54,9.4,-1.44,MTD
2024-05-09 16:00:00-04:00,7.65,8.89,16.14,MTD
2024-08-01 16:00:00-04:00,9.05,9.65,6.68,MTD
2024-11-07 16:00:00-05:00,10.01,10.21,1.95,MTD
2025-02-06 16:00:00-05:00,11.72,12.41,5.84,MTD
2025-05-01 16:00:00-04:00,7.88,8.19,3.87,MTD
2025-07-31 16:00:00-04:00,9.6,10.09,5.12,MTD
2025-11-06 16:00:00-05:00,10.23,10.57,3.32,MTD
